takeoff time = 0.1 s
apogee time = 11.8 s
t [s]	acc long [g]	acc lat [g]	event
-1.50	 -0.73	  0.11	
-1.40	 -0.70	  0.08	
-1.30	 -0.72	  0.09	
-1.20	 -0.71	  0.11	
-1.10	 -0.74	  0.07	
-1.00	 -0.70	  0.09	
-0.90	 -0.70	  0.07	
-0.80	 -0.72	  0.11	
-0.70	 -0.73	  0.12	
-0.60	 -0.70	  0.07	
-0.50	 -0.74	  0.10	
-0.40	 -0.69	  0.09	
-0.30	 -0.73	  0.09	
-0.20	 -0.74	  0.08	
-0.10	 -0.72	  0.09	
-0.10	 -0.73	  0.08	
 0.00	 -0.73	  0.09	
 0.10	 20.83	  0.07	
 0.20	 19.23	 -0.05	 --> takeoff
 0.30	 17.36	 -0.07	
 0.40	 15.82	 -0.03	
 0.50	 14.02	 -0.06	
 0.60	 12.28	 -0.04	
 0.70	 10.53	 -0.06	
 0.80	  8.78	 -0.04	
 0.90	  7.03	 -0.05	
 1.00	 -2.33	 -0.03	
 1.10	 -2.28	 -0.05	
 1.20	 -2.24	 -0.06	
 1.30	 -2.14	 -0.05	
 1.40	 -2.11	 -0.05	
 1.50	 -2.03	 -0.05	
 1.60	 -1.99	 -0.06	
 1.70	 -1.93	 -0.04	 --> balistic up
 1.80	 -1.89	 -0.06	
 1.90	 -1.84	 -0.08	
 2.00	 -1.78	 -0.05	
 2.10	 -1.69	 -0.06	
 2.20	 -1.68	 -0.08	
 2.30	 -1.64	 -0.04	
 2.40	 -1.59	 -0.06	
 2.50	 -1.55	 -0.08	
 2.60	 -1.53	 -0.04	
 2.70	 -1.50	 -0.07	
 2.80	 -1.48	 -0.07	
 2.90	 -1.42	 -0.10	
 3.00	 -1.40	 -0.06	
 3.10	 -1.36	 -0.06	
 3.20	 -1.34	 -0.07	
 3.30	 -1.33	 -0.08	
 3.40	 -1.33	 -0.06	
 3.50	 -1.28	 -0.10	
 3.60	 -1.26	 -0.08	
 3.70	 -1.24	 -0.10	
 3.80	 -1.21	 -0.08	
 3.90	 -1.19	 -0.09	
 4.00	 -1.20	 -0.10	
 4.10	 -1.17	 -0.09	
 4.20	 -1.12	 -0.08	
 4.30	 -1.12	 -0.08	
 4.40	 -1.13	 -0.08	
 4.50	 -1.09	 -0.12	
 4.60	 -1.11	 -0.13	
 4.70	 -1.05	 -0.11	
 4.80	 -1.07	 -0.10	
 4.90	 -1.04	 -0.13	
 5.00	 -1.04	 -0.11	
 5.10	 -1.02	 -0.12	
 5.20	 -0.98	 -0.12	
 5.30	 -0.98	 -0.12	
 5.40	 -0.99	 -0.12	
 5.50	 -0.95	 -0.14	
 5.60	 -0.96	 -0.10	
 5.70	 -0.92	 -0.14	
 5.80	 -0.91	 -0.11	
 5.90	 -0.93	 -0.16	
 6.00	 -0.91	 -0.13	
 6.10	 -0.89	 -0.13	
