takeoff time = 0.1 s
apogee time = 11.8 s
t [s]	acc long [g]	acc lat [g]	event
-1.50	 -0.71	  0.11	
-1.40	 -0.71	  0.11	
-1.30	 -0.71	  0.11	
-1.20	 -0.71	  0.11	
-1.10	 -0.71	  0.11	
-1.00	 -0.71	  0.11	
-0.90	 -0.71	  0.11	
-0.80	 -0.71	  0.11	
-0.70	 -0.71	  0.11	
-0.60	 -0.71	  0.11	
-0.50	 -0.71	  0.11	
-0.40	 -0.71	  0.11	
-0.30	 -0.71	  0.11	
-0.20	 -0.71	  0.11	
-0.10	 -0.71	  0.11	
-0.10	 -0.71	  0.11	
 0.00	 -0.71	  0.11	
 0.10	 20.85	  0.10	
 0.20	 19.22	 -0.04	 --> takeoff
 0.30	 17.36	 -0.04	
 0.40	 15.80	 -0.04	
 0.50	 14.05	 -0.04	
 0.60	 12.28	 -0.04	
 0.70	 10.52	 -0.04	
 0.80	  8.78	 -0.04	
 0.90	  7.05	 -0.04	
 1.00	 -2.34	 -0.04	
 1.10	 -2.27	 -0.04	
 1.20	 -2.21	 -0.04	
 1.30	 -2.15	 -0.04	
 1.40	 -2.08	 -0.04	
 1.50	 -2.03	 -0.05	
 1.60	 -1.97	 -0.05	
 1.70	 -1.92	 -0.05	 --> balistic up
 1.80	 -1.88	 -0.05	
 1.90	 -1.83	 -0.05	
 2.00	 -1.75	 -0.05	
 2.10	 -1.71	 -0.06	
 2.20	 -1.67	 -0.06	
 2.30	 -1.63	 -0.06	
 2.40	 -1.59	 -0.06	
 2.50	 -1.56	 -0.06	
 2.60	 -1.52	 -0.06	
 2.70	 -1.49	 -0.06	
 2.80	 -1.46	 -0.06	
 2.90	 -1.43	 -0.06	
 3.00	 -1.40	 -0.06	
 3.10	 -1.37	 -0.06	
 3.20	 -1.35	 -0.06	
 3.30	 -1.32	 -0.07	
 3.40	 -1.30	 -0.07	
 3.50	 -1.27	 -0.07	
 3.60	 -1.25	 -0.07	
 3.70	 -1.23	 -0.08	
 3.80	 -1.21	 -0.08	
 3.90	 -1.18	 -0.08	
 4.00	 -1.16	 -0.08	
 4.10	 -1.14	 -0.08	
 4.20	 -1.13	 -0.08	
 4.30	 -1.13	 -0.08	
 4.40	 -1.11	 -0.08	
 4.50	 -1.09	 -0.08	
 4.60	 -1.07	 -0.09	
 4.70	 -1.06	 -0.09	
 4.80	 -1.04	 -0.09	
 4.90	 -1.02	 -0.10	
 5.00	 -1.01	 -0.10	
 5.10	 -1.00	 -0.10	
 5.20	 -0.98	 -0.11	
 5.30	 -0.97	 -0.11	
