			"Dynamique de la fusée (repère sol)"												"Forces"													"Sous-échantillon 1Hz"				"Accélération longitudinale"	
"pas"	"t"		"acc_x"	"acc_z"	"acc_xz"	"vit_x"	"vit_z"	"vit_xz"	"pos_x"	"pos_z"	"pos_xz"	"Beta"	"BetaD"		"i_P"	"Poussée"	"Débit"	"m"	"Poids"	"R_rampe"	"Rho"	"Trainée"		"Événements"				"Temps"	"x"	"z"		"gravitationnelle"	"non-gravit."
"s"	"s"		"m/s²"	"m/s²"	"m/s²"	"m/s"	"m/s"	"m/s"	"m"	"m"	"m"	"rad"	"°"		"-"	"N"	"kg/s"	"kg"	"N"	"N"	"kg/m3"	"N"						"s"	"m"	"m"		"m/s²"	"m/s²"
"-"	0,00		"-"	"-"	"-"	0,00	0,00	0,00	0,00	0,00	0,00	1,40	80,00		"-"	"-"	"-"	0,82	8,04	1,40	1,23	0,00		"-"	"-"	"-"		0	0	0		"-"	"-"
0,01	0,01		15,27	86,61	87,95	0,15	0,87	0,88	0,00	0,00	0,00	1,40	80,00		1	80,00	0,04	0,82	8,04	1,40	1,22	0,00		""	""	""		"#N/A"	"#N/A"	0		87,95	97,61
0,01	0,02		49,24	279,26	283,57	0,65	3,66	3,72	0,00	0,03	0,03	1,40	80,00		1	240,00	0,12	0,82	8,03	1,39	1,22	0,01		""	""	""		"#N/A"	"#N/A"	0		283,57	293,23
0,01	0,03		58,35	330,96	336,06	1,23	6,97	7,08	0,01	0,08	0,08	1,40	80,00		2	282,50	0,14	0,82	8,02	1,39	1,22	0,03		""	""	""		"#N/A"	"#N/A"	0		336,06	345,72
0,01	0,04		42,47	240,84	244,56	1,65	9,38	9,52	0,03	0,16	0,16	1,40	80,00		2	207,50	0,10	0,82	8,01	1,39	1,22	0,06		""	""	""		"#N/A"	"#N/A"	0		244,56	254,22
0,01	0,05		38,25	216,93	220,28	2,04	11,55	11,72	0,05	0,27	0,27	1,40	80,00		3	187,50	0,09	0,82	8,00	1,39	1,22	0,08		""	""	""		"#N/A"	"#N/A"	0		220,28	229,94
0,01	0,06		43,30	245,60	249,39	2,47	14,00	14,22	0,07	0,39	0,40	1,40	80,00		4	211,00	0,10	0,81	7,99	1,39	1,22	0,12		""	""	""		"#N/A"	"#N/A"	0		249,39	259,05
0,01	0,07		44,47	252,24	256,13	2,91	16,52	16,78	0,10	0,55	0,56	1,40	80,00		5	216,25	0,10	0,81	7,98	1,39	1,22	0,17		""	""	""		"#N/A"	"#N/A"	1		256,13	265,79
0,01	0,08		44,20	250,69	254,56	3,36	19,03	19,32	0,13	0,72	0,74	1,40	80,00		5	214,75	0,10	0,81	7,97	1,38	1,22	0,23		""	""	""		"#N/A"	"#N/A"	1		254,56	264,22
0,01	0,09		43,93	249,13	252,98	3,79	21,52	21,85	0,16	0,93	0,94	1,40	80,00		5	213,25	0,10	0,81	7,96	1,38	1,22	0,29		""	""	""		"#N/A"	"#N/A"	1		252,98	262,64
0,01	0,10		43,65	247,56	251,38	4,23	24,00	24,37	0,20	1,15	1,17	1,40	80,00		5	211,75	0,10	0,81	7,95	1,38	1,22	0,37		""	""	""		"#N/A"	"#N/A"	1		251,38	261,04
0,01	0,11		43,37	245,97	249,76	4,67	26,46	26,87	0,25	1,41	1,43	1,40	80,00		5	210,25	0,10	0,81	7,94	1,38	1,22	0,44		""	""	""		"#N/A"	"#N/A"	1		249,76	259,42
0,01	0,12		43,08	244,36	248,13	5,10	28,90	29,35	0,30	1,68	1,71	1,40	80,00		5	208,75	0,10	0,81	7,93	1,38	1,22	0,53		"Sortie de rampe"	""	""		"#N/A"	"#N/A"	2		248,13	257,79
0,01	0,13		42,80	242,74	246,48	5,52	31,33	31,81	0,35	1,99	2,02	1,40	80,00		5	207,25	0,10	0,81	7,92	0,00	1,22	0,62		""	""	""		"#N/A"	"#N/A"	2		246,48	256,14
0,01	0,14		44,19	240,81	244,83	5,97	33,74	34,26	0,41	2,31	2,35	1,40	79,97		5	205,75	0,10	0,81	7,91	0,00	1,22	0,72		""	""	""		"#N/A"	"#N/A"	2		244,82	254,48
0,01	0,15		44,02	239,13	243,15	6,41	36,13	36,69	0,47	2,66	2,70	1,40	79,95		5	204,25	0,10	0,81	7,90	0,00	1,22	0,83		""	""	""		"#N/A"	"#N/A"	3		243,15	252,81
0,01	0,16		43,84	237,45	241,46	6,84	38,50	39,11	0,54	3,03	3,08	1,39	79,92		5	202,75	0,10	0,80	7,89	0,00	1,22	0,94		""	""	""		"#N/A"	"#N/A"	3		241,46	251,11
0,01	0,17		43,65	235,75	239,76	7,28	40,86	41,50	0,61	3,43	3,48	1,39	79,90		5	201,25	0,10	0,80	7,88	0,00	1,22	1,06		""	""	""		"#N/A"	"#N/A"	3		239,75	249,41
0,01	0,18		43,45	234,04	238,04	7,72	43,20	43,88	0,68	3,85	3,91	1,39	79,87		5	199,75	0,10	0,80	7,87	0,00	1,22	1,18		""	""	""		"#N/A"	"#N/A"	4		238,03	247,69
0,01	0,19		43,24	232,32	236,31	8,15	45,52	46,25	0,76	4,29	4,36	1,39	79,85		5	198,25	0,10	0,80	7,86	0,00	1,22	1,32		""	""	""		"#N/A"	"#N/A"	4		236,30	245,96
0,01	0,20		43,03	230,58	234,56	8,58	47,83	48,59	0,84	4,76	4,83	1,39	79,83		5	196,75	0,09	0,80	7,85	0,00	1,22	1,45		""	""	""		"#N/A"	"#N/A"	5		234,55	244,21
0,01	0,21		42,80	228,83	232,80	9,01	50,12	50,92	0,93	5,25	5,33	1,39	79,81		5	195,25	0,09	0,80	7,84	0,00	1,22	1,59		""	""	""		"#N/A"	"#N/A"	5		232,79	242,45
